iter	Passed	Remaining
844	41495	449573
845	41554	449635
846	41602	449577
847	41654	449551
848	41703	449503
849	41746	449390
850	41797	449357
851	41849	449341
852	41895	449256
853	41942	449188
854	41988	449103
855	42032	448997
856	42083	448971
857	42130	448900
858	42181	448875
859	42232	448845
860	42281	448790
861	42327	448710
862	42386	448770
863	42432	448688
864	42483	448656
865	42544	448734
866	42604	448796
867	42653	448747
868	42704	448716
869	42755	448684
870	42801	448604
871	42849	448543
872	42898	448488
873	42946	448430
874	42993	448358
875	43042	448307
876	43094	448292
877	43146	448269
878	43203	448300
879	43242	448147
880	43298	448175
881	43352	448168
882	43394	448049
883	43447	448037
884	43494	447971
885	43548	447973
886	43595	447898
887	43636	447769
888	43690	447762
889	43736	447680
890	43781	447598
891	43831	447555
892	43883	447535
893	43932	447486
894	43984	447464
895	44044	447526
896	44094	447486
897	44148	447483
898	44198	447445
899	44246	447382
900	44300	447385
901	44350	447340
902	44407	447366
903	44459	447354
904	44516	447380
905	44569	447372
906	44629	447422
907	44686	447459
908	44730	447355
909	44773	447247
910	44827	447245
911	44872	447149
912	44924	447128
913	44983	447180
914	45033	447139
915	45083	447089
916	45131	447033
917	45183	447010
918	45233	446968
919	45276	446861
920	45324	446798
921	45370	446712
922	45422	446700
923	45472	446653
924	45529	446683
925	45578	446632
926	45631	446614
927	45672	446483
928	45713	446360
929	45764	446325
930	45813	446277
931	45852	446130
932	45903	446097
933	45954	446060
934	46000	445979
935	46040	445841
936	46095	445854
937	46141	445776
938	46192	445742
939	46246	445736
940	46292	445656
941	46334	445540
942	46390	445557
943	46435	445470
944	46487	445441
945	46539	445424
946	46592	445404
947	46637	445315
948	46693	445334
949	46745	445316
950	46800	445317
951	46848	445257
952	46909	445317
953	46954	445235
954	47002	445167
955	47051	445120
956	47098	445046
957	47145	444975
958	47193	444920
959	47239	444841
960	47296	444867
961	47343	444789
962	47397	444791
963	47452	444791
964	47504	444774
965	47556	444750
966	47604	444682
967	47652	444624
968	47696	444526
969	47746	444485
970	47794	444428
971	47850	444441
972	47903	444425
973	47947	444323
974	47989	444212
975	48029	444077
976	48082	444060
977	48133	444030
978	48177	443929
979	48222	443841
980	48281	443886
981	48327	443804
982	48378	443772
983	48423	443680
984	48470	443611
985	48515	443531
986	48565	443488
987	48613	443422
988	48656	443318
989	48704	443261
990	48747	443156
991	48800	443141
992	48848	443082
993	48893	442996
994	48940	442924
995	48985	442841
996	49032	442771
997	49077	442684
998	49124	442616
999	49167	442505
1000	49213	442426
1001	49269	442438
1002	49333	442522
1003	49376	442423
1004	49436	442467
1005	49490	442464
1006	49546	442475
1007	49604	442500
1008	49659	442509
1009	49704	442418
1010	49748	442324
1011	49798	442283
1012	49850	442257
1013	49897	442192
1014	49943	442109
1015	49997	442100
1016	50049	442079
1017	50098	442028
1018	50146	441968
1019	50196	441923
1020	50239	441824
1021	50287	441762
1022	50330	441656
1023	50375	441570
1024	50424	441525
1025	50475	441491
1026	50522	441420
1027	50571	441373
1028	50630	441408
1029	50681	441375
1030	50733	441343
1031	50786	441330
1032	50840	441321
1033	50889	441268
1034	50944	441270
1035	50993	441217
1036	51043	441180
1037	51095	441154
1038	51138	441050
1039	51190	441025
1040	51247	441046
1041	51295	440982
1042	51342	440915
1043	51398	440925
1044	51458	440963
1045	51506	440909
1046	51553	440841
1047	51602	440791
1048	51655	440772
1049	51704	440718
1050	51745	440595
1051	51801	440605
1052	51847	440535
1053	51902	440531
1054	51946	440440
1055	51995	440382
1056	52049	440377
1057	52104	440380
1058	52155	440345
1059	52202	440270
1060	52245	440175
1061	52295	440131
1062	52341	440056
1063	52387	439978
1064	52443	439981
1065	52498	439980
1066	52557	440017
1067	52615	440041
1068	52680	440123
1069	52726	440045
1070	52770	439954
1071	52820	439911
1072	52875	439906
1073	52919	439811
1074	52967	439755
1075	53015	439697
1076	53067	439667
1077	53114	439600
1078	53163	439543
1079	53214	439514
1080	53271	439525
1081	53324	439511
1082	53375	439477
1083	53427	439445
1084	53479	439421
1085	53535	439423
1086	53584	439370
1087	53631	439303
1088	53686	439302
1089	53737	439264
1090	53790	439245
1091	53841	439214
1092	53884	439111
1093	53924	438988
1094	53979	438981
1095	54028	438934
1096	54078	438892
1097	54129	438849
1098	54178	438799
1099	54223	438721
1100	54267	438629
1101	54313	438552
1102	54374	438591
1103	54439	438671
1104	54492	438654
1105	54538	438575
1106	54584	438502
1107	54633	438451
1108	54682	438397
1109	54730	438338
1110	54779	438285
1111	54825	438211
1112	54874	438159
1113	54925	438123
1114	54973	438058
1115	55018	437975
1116	55076	437998
1117	55119	437896
1118	55169	437851
1119	55213	437760
1120	55256	437664
1121	55310	437654
1122	55360	437605
1123	55416	437612
1124	55470	437599
1125	55520	437554
1126	55560	437431
1127	55607	437370
1128	55658	437329
1129	55703	437249
1130	55749	437175
1131	55795	437100
1132	55849	437084
1133	55894	437001
1134	55941	436933
1135	55985	436843
1136	56035	436800
1137	56086	436765
1138	56132	436686
1139	56194	436738
1140	56234	436621
1141	56281	436550
1142	56329	436489
1143	56376	436426
1144	56429	436405
1145	56473	436313
1146	56522	436263
1147	56564	436158
1148	56616	436126
1149	56671	436120
1150	56722	436088
1151	56773	436052
1152	56814	435938
1153	56862	435876
1154	56914	435850
1155	56970	435857
1156	57025	435851
1157	57072	435781
1158	57119	435715
1159	57174	435708
1160	57224	435662
1161	57272	435606
1162	57320	435544
1163	57364	435457
1164	57416	435428
1165	57466	435385
1166	57511	435304
1167	57552	435188
1168	57595	435091
1169	57638	435001
1170	57683	434916
1171	57737	434903
1172	57779	434796
1173	57828	434748
1174	57879	434714
1175	57926	434643
1176	57973	434578
1177	58023	434539
1178	58067	434443
1179	58119	434419
1180	58169	434373
1181	58225	434374
1182	58280	434370
1183	58324	434283
1184	58372	434225
1185	58422	434180
1186	58472	434137
1187	58526	434118
1188	58576	434076
1189	58621	433997
1190	58664	433903
1191	58705	433791
1192	58758	433769
1193	58821	433822
1194	58879	433838
1195	58926	433773
1196	58969	433676
1197	59018	433619
1198	59067	433574
1199	59117	433526
1200	59158	433418
1201	59212	433403
1202	59278	433480
1203	59328	433435
1204	59376	433371
1205	59422	433299
1206	59468	433230
1207	59514	433155
1208	59559	433075
1209	59608	433025
1210	59663	433013
1211	59706	432924
1212	59749	432828
1213	59799	432782
1214	59846	432720
1215	59891	432636
1216	59940	432587
1217	59989	432536
1218	60038	432485
1219	60086	432422
1220	60144	432439
1221	60195	432405
1222	60251	432402
1223	60299	432340
1224	60348	432295
1225	60398	432249
1226	60451	432226
1227	60502	432192
1228	60564	432233
1229	60609	432150
1230	60656	432085
1231	60696	431971
1232	60743	431904
1233	60782	431780
1234	60828	431709
1235	60879	431671
1236	60926	431610
1237	60978	431578
1238	61023	431495
1239	61071	431437
1240	61110	431318
1241	61158	431259
1242	61206	431200
1243	61261	431191
1244	61309	431136
1245	61351	431037
1246	61396	430959
1247	61452	430957
1248	61500	430894
1249	61544	430810
1250	61596	430784
1251	61640	430699
1252	61697	430699
1253	61744	430635
1254	61788	430553
1255	61836	430490
1256	61890	430477
1257	61930	430360
1258	61980	430317
1259	62025	430241
1260	62076	430200
1261	62125	430150
1262	62177	430122
1263	62219	430026
1264	62272	429999
1265	62318	429928
1266	62372	429910
1267	62418	429844
1268	62472	429825
1269	62526	429810
1270	62574	429752
1271	62622	429695
1272	62666	429606
1273	62709	429516
1274	62758	429466
1275	62804	429391
1276	62850	429325
1277	62903	429297
1278	62952	429249
1279	63001	429199
1280	63065	429245
1281	63109	429167
1282	63152	429070
1283	63200	429014
1284	63250	428968
1285	63295	428891
1286	63348	428869
1287	63400	428837
1288	63445	428761
